counter,timestamp,duration,dataset,model,test_result,parameter_dict,model_path,energy_consumed,country_iso_code
0,2025-04-08 18:48:55.244777,95.69812099999999,amazon,Pop,"{'recall@10': 0.0043, 'mrr@10': 0.0105, 'ndcg@10': 0.0044, 'hit@10': 0.0298, 'map@10': 0.0018, 'precision@10': 0.0031, 'gauc': 0.7467, 'itemcoverage@10': 0.0004, 'averagepopularity@10': 546.8943, 'giniindex@10': -0.0742, 'shannonentropy@10': 0.1142, 'tailpercentage@10': 0.0}","{'epochs': 1, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/Pop-Apr-08-2025_18-48-52.pth,0.0012583614572432714,AUT
1,2025-04-08 18:53:49.213722,142.031181,amazon,ItemKNN,"{'recall@10': 0.0889, 'mrr@10': 0.1662, 'ndcg@10': 0.0873, 'hit@10': 0.3355, 'map@10': 0.0472, 'precision@10': 0.05, 'gauc': 0.8583, 'itemcoverage@10': 0.577, 'averagepopularity@10': 59.3357, 'giniindex@10': 0.0573, 'shannonentropy@10': 0.0003, 'tailpercentage@10': 0.1476}","{'epochs': 1, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/ItemKNN-Apr-08-2025_18-53-49.pth,0.0016409922163292303,AUT
2,2025-04-08 18:58:23.691981,1680.6301048,amazon,BPR,"{'recall@10': 0.0287, 'mrr@10': 0.053, 'ndcg@10': 0.0261, 'hit@10': 0.1415, 'map@10': 0.0118, 'precision@10': 0.0169, 'gauc': 0.9435, 'itemcoverage@10': 0.1133, 'averagepopularity@10': 173.2072, 'giniindex@10': -0.0937, 'shannonentropy@10': 0.0011, 'tailpercentage@10': 0.0}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/BPR-Apr-08-2025_18-58-23.pth,0.014646448370839643,AUT
3,2025-04-08 19:28:11.575535,2587.8088047000006,amazon,DMF,"{'recall@10': 0.0211, 'mrr@10': 0.0421, 'ndcg@10': 0.0198, 'hit@10': 0.1167, 'map@10': 0.0084, 'precision@10': 0.0136, 'gauc': 0.9112, 'itemcoverage@10': 0.0462, 'averagepopularity@10': 168.2535, 'giniindex@10': -0.0856, 'shannonentropy@10': 0.0027, 'tailpercentage@10': 0.0}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/DMF-Apr-08-2025_19-28-11.pth,0.025563216107985596,AUT
4,2025-04-09 10:38:56.662422,1922.5304887000002,amazon,SLIMElastic,"{'recall@10': 0.0094, 'mrr@10': 0.0389, 'ndcg@10': 0.0138, 'hit@10': 0.0648, 'map@10': 0.0066, 'precision@10': 0.0081, 'gauc': 0.5079, 'itemcoverage@10': 0.0023, 'averagepopularity@10': 121.9249, 'giniindex@10': -0.0744, 'shannonentropy@10': 0.0245, 'tailpercentage@10': 0.0}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/SLIMElastic-Apr-09-2025_10-38-53.pth,0.019169018724184507,AUT
5,2025-04-09 11:18:36.200404,5549.822108900001,amazon,NeuMF,"{'recall@10': 0.0297, 'mrr@10': 0.0498, 'ndcg@10': 0.0258, 'hit@10': 0.1394, 'map@10': 0.0118, 'precision@10': 0.0165, 'gauc': 0.9371, 'itemcoverage@10': 0.3923, 'averagepopularity@10': 96.2548, 'giniindex@10': 0.1664, 'shannonentropy@10': 0.0004, 'tailpercentage@10': 0.0001}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/NeuMF-Apr-09-2025_11-18-35.pth,0.052930294759193766,AUT
6,2025-04-09 12:56:00.154033,3364.5889498000006,amazon,MultiDAE,"{'recall@10': 0.0491, 'mrr@10': 0.0887, 'ndcg@10': 0.0455, 'hit@10': 0.2134, 'map@10': 0.0223, 'precision@10': 0.0281, 'gauc': 0.9458, 'itemcoverage@10': 0.2873, 'averagepopularity@10': 108.9939, 'giniindex@10': -0.1653, 'shannonentropy@10': 0.0006, 'tailpercentage@10': 0.0017}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/MultiDAE-Apr-09-2025_12-56-00.pth,0.04339807880072934,AUT
7,2025-04-09 13:54:26.619345,4390.642053,amazon,NGCF,"{'recall@10': 0.0299, 'mrr@10': 0.0576, 'ndcg@10': 0.0277, 'hit@10': 0.152, 'map@10': 0.0124, 'precision@10': 0.0179, 'gauc': 0.9484, 'itemcoverage@10': 0.1766, 'averagepopularity@10': 181.323, 'giniindex@10': -0.0996, 'shannonentropy@10': 0.0008, 'tailpercentage@10': 0.0032}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/NGCF-Apr-09-2025_13-54-26.pth,0.029423108363755904,AUT
8,2025-04-10 08:28:01.514794,3238.3356649999996,amazon,LightGCN,"{'recall@10': 0.0281, 'mrr@10': 0.0521, 'ndcg@10': 0.0253, 'hit@10': 0.1413, 'map@10': 0.0111, 'precision@10': 0.0168, 'gauc': 0.9434, 'itemcoverage@10': 0.0502, 'averagepopularity@10': 207.192, 'giniindex@10': -0.0833, 'shannonentropy@10': 0.0024, 'tailpercentage@10': 0.0001}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/LightGCN-Apr-10-2025_08-27-58.pth,0.030842940472355262,AUT
9,2025-04-10 09:23:38.249559,9005.1744778,amazon,SGL,"{'recall@10': 0.0403, 'mrr@10': 0.0708, 'ndcg@10': 0.0358, 'hit@10': 0.182, 'map@10': 0.0166, 'precision@10': 0.0224, 'gauc': 0.9525, 'itemcoverage@10': 0.0977, 'averagepopularity@10': 152.1248, 'giniindex@10': -0.0945, 'shannonentropy@10': 0.0014, 'tailpercentage@10': 0.0004}","{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/amazon/SGL-Apr-10-2025_09-23-38.pth,0.104913661369951,AUT
