counter,timestamp,duration,dataset,model,test_result,parameter_dict,model_path,energy_consumed,country_iso_code
0,2025-04-06 08:18:00.848244,68.72563960000001,mind,Pop,"{'recall@10': 0.2475, 'mrr@10': 0.1497, 'ndcg@10': 0.1421, 'hit@10': 0.4755, 'map@10': 0.075, 'precision@10': 0.0767, 'gauc': 0.9617, 'itemcoverage@10': 0.0152, 'averagepopularity@10': 8234.6556, 'giniindex@10': 0.9959, 'shannonentropy@10': 0.0473, 'tailpercentage@10': 0.0}","{'epochs': 1, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/Pop-Apr-06-2025_08-17-59.pth,0.0008456737538890045,AUT
1,2025-04-06 08:20:42.232600,112.0925149,mind,ItemKNN,"{'recall@10': 0.6448, 'mrr@10': 0.6543, 'ndcg@10': 0.5611, 'hit@10': 0.8845, 'map@10': 0.4553, 'precision@10': 0.1982, 'gauc': 0.985, 'itemcoverage@10': 0.1783, 'averagepopularity@10': 4856.787, 'giniindex@10': 0.9741, 'shannonentropy@10': 0.0064, 'tailpercentage@10': 0.0}","{'epochs': 1, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/ItemKNN-Apr-06-2025_08-20-42.pth,0.0012337021161047852,AUT
2,2025-04-06 08:24:19.110192,2921.2626733,mind,BPR,"{'recall@10': 0.6422, 'mrr@10': 0.6477, 'ndcg@10': 0.5574, 'hit@10': 0.882, 'map@10': 0.4518, 'precision@10': 0.1994, 'gauc': 0.99, 'itemcoverage@10': 0.202, 'averagepopularity@10': 5223.0961, 'giniindex@10': 0.9713, 'shannonentropy@10': 0.0057, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/BPR-Apr-06-2025_08-24-19.pth,0.035848081200967316,AUT
3,2025-04-06 09:18:21.597482,4386.1884157,mind,DMF,"{'recall@10': 0.6773, 'mrr@10': 0.6837, 'ndcg@10': 0.5982, 'hit@10': 0.9032, 'map@10': 0.4966, 'precision@10': 0.2063, 'gauc': 0.9716, 'itemcoverage@10': 0.1264, 'averagepopularity@10': 5064.2694, 'giniindex@10': 0.9713, 'shannonentropy@10': 0.0092, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/DMF-Apr-06-2025_09-18-19.pth,0.06629061454002444,AUT
4,2025-04-06 10:32:58.204558,4962.2130697,mind,FISM,"{'recall@10': 0.3234, 'mrr@10': 0.3183, 'ndcg@10': 0.2399, 'hit@10': 0.5796, 'map@10': 0.1627, 'precision@10': 0.0899, 'gauc': 0.964, 'itemcoverage@10': 0.0156, 'averagepopularity@10': 8868.3293, 'giniindex@10': 0.9956, 'shannonentropy@10': 0.0465, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/FISM-Apr-06-2025_10-32-58.pth,0.08538827898805385,AUT
5,2025-04-06 13:25:26.767067,10645.1726718,mind,NAIS,"{'recall@10': 0.6054, 'mrr@10': 0.5841, 'ndcg@10': 0.4964, 'hit@10': 0.8606, 'map@10': 0.3836, 'precision@10': 0.1813, 'gauc': 0.9853, 'itemcoverage@10': 0.1139, 'averagepopularity@10': 5047.2568, 'giniindex@10': 0.9767, 'shannonentropy@10': 0.0098, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/NAIS-Apr-06-2025_13-25-24.pth,0.25772184597895176,AUT
6,2025-04-06 16:36:21.258512,3642.8166444,mind,SLIMElastic,"{'recall@10': 0.6956, 'mrr@10': 0.7516, 'ndcg@10': 0.6472, 'hit@10': 0.9206, 'map@10': 0.5525, 'precision@10': 0.2136, 'gauc': 0.9615, 'itemcoverage@10': 0.0788, 'averagepopularity@10': 5610.9108, 'giniindex@10': 0.9812, 'shannonentropy@10': 0.0136, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/SLIMElastic-Apr-06-2025_16-36-21.pth,0.041554871340021435,AUT
7,2025-04-06 18:09:56.505990,4786.2596699,mind,NeuMF,"{'recall@10': 0.6855, 'mrr@10': 0.6619, 'ndcg@10': 0.5963, 'hit@10': 0.9116, 'map@10': 0.4954, 'precision@10': 0.2061, 'gauc': 0.9906, 'itemcoverage@10': 0.4163, 'averagepopularity@10': 4552.9485, 'giniindex@10': 0.9457, 'shannonentropy@10': 0.0031, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/NeuMF-Apr-06-2025_18-09-54.pth,0.06737983719379789,AUT
8,2025-04-06 19:31:35.479179,3879.1896335,mind,MultiDAE,"{'recall@10': 0.7477, 'mrr@10': 0.7758, 'ndcg@10': 0.7003, 'hit@10': 0.9456, 'map@10': 0.6153, 'precision@10': 0.2298, 'gauc': 0.9905, 'itemcoverage@10': 0.2541, 'averagepopularity@10': 4721.3106, 'giniindex@10': 0.9627, 'shannonentropy@10': 0.0048, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/MultiDAE-Apr-06-2025_19-31-35.pth,0.05257921619381284,AUT
9,2025-04-06 20:45:02.767184,6022.8016658999995,mind,NGCF,"{'recall@10': 0.6443, 'mrr@10': 0.6376, 'ndcg@10': 0.5502, 'hit@10': 0.8861, 'map@10': 0.4422, 'precision@10': 0.1974, 'gauc': 0.9896, 'itemcoverage@10': 0.1837, 'averagepopularity@10': 4823.0193, 'giniindex@10': 0.9682, 'shannonentropy@10': 0.0064, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/mind/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/mind/NGCF-Apr-06-2025_20-45-01.pth,0.11411478944578012,AUT
