counter,timestamp,duration,dataset,model,test_result,parameter_dict,model_path,energy_consumed,country_iso_code
0,2025-04-04 11:07:37.283444,18.286322900000002,movielens,Pop,"{'recall@10': 0.0689, 'mrr@10': 0.1668, 'ndcg@10': 0.0812, 'hit@10': 0.4056, 'map@10': 0.036, 'precision@10': 0.0618, 'gauc': 0.8264, 'itemcoverage@10': 0.0153, 'averagepopularity@10': 1711.5398, 'giniindex@10': 0.9948, 'shannonentropy@10': 0.0622, 'tailpercentage@10': 0.0}","{'epochs': 1, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/Pop-Apr-04-2025_11-07-34.pth,0.0002212294838677985,AUT
1,2025-04-04 11:08:23.598230,27.692030499999987,movielens,ItemKNN,"{'recall@10': 0.1329, 'mrr@10': 0.2675, 'ndcg@10': 0.1447, 'hit@10': 0.6083, 'map@10': 0.0698, 'precision@10': 0.105, 'gauc': 0.896, 'itemcoverage@10': 0.3802, 'averagepopularity@10': 986.2285, 'giniindex@10': 0.9152, 'shannonentropy@10': 0.0048, 'tailpercentage@10': 0.0001}","{'epochs': 1, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/ItemKNN-Apr-04-2025_11-08-23.pth,0.00030486157416021765,AUT
2,2025-04-04 11:09:21.538214,786.8875078000001,movielens,BPR,"{'recall@10': 0.131, 'mrr@10': 0.2657, 'ndcg@10': 0.143, 'hit@10': 0.6032, 'map@10': 0.0691, 'precision@10': 0.1034, 'gauc': 0.9044, 'itemcoverage@10': 0.4958, 'averagepopularity@10': 966.8793, 'giniindex@10': 0.89, 'shannonentropy@10': 0.0038, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/BPR-Apr-04-2025_11-09-21.pth,0.009551278644749861,AUT
3,2025-04-04 11:26:31.332672,1106.4830339999999,movielens,DMF,"{'recall@10': 0.1241, 'mrr@10': 0.2491, 'ndcg@10': 0.1352, 'hit@10': 0.5832, 'map@10': 0.0647, 'precision@10': 0.099, 'gauc': 0.8643, 'itemcoverage@10': 0.2938, 'averagepopularity@10': 1067.3646, 'giniindex@10': 0.9319, 'shannonentropy@10': 0.0059, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/DMF-Apr-04-2025_11-26-30.pth,0.017060421593472323,AUT
4,2025-04-04 11:45:26.080588,2568.7668896,movielens,FISM,"{'recall@10': 0.0678, 'mrr@10': 0.1736, 'ndcg@10': 0.0836, 'hit@10': 0.4052, 'map@10': 0.0383, 'precision@10': 0.0621, 'gauc': 0.829, 'itemcoverage@10': 0.0153, 'averagepopularity@10': 1722.0688, 'giniindex@10': 0.9948, 'shannonentropy@10': 0.0623, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,0.057419212912993664,AUT
5,2025-04-04 12:36:25.176410,33366.4132311,movielens,NAIS,"{'recall@10': 0.1234, 'mrr@10': 0.2521, 'ndcg@10': 0.1347, 'hit@10': 0.5848, 'map@10': 0.0637, 'precision@10': 0.0991, 'gauc': 0.8999, 'itemcoverage@10': 0.2988, 'averagepopularity@10': 952.393, 'giniindex@10': 0.927, 'shannonentropy@10': 0.006, 'tailpercentage@10': 0.0001}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/NAIS-Apr-04-2025_12-36-23.pth,0.6525239745615115,AUT
6,2025-04-04 21:57:08.393936,1127.8925086000017,movielens,SLIMElastic,"{'recall@10': 0.1493, 'mrr@10': 0.2915, 'ndcg@10': 0.1609, 'hit@10': 0.643, 'map@10': 0.0804, 'precision@10': 0.1131, 'gauc': 0.8772, 'itemcoverage@10': 0.2029, 'averagepopularity@10': 1226.1707, 'giniindex@10': 0.9588, 'shannonentropy@10': 0.0079, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/SLIMElastic-Apr-04-2025_21-57-08.pth,0.012809751513620505,AUT
7,2025-04-05 07:20:44.069818,1035.2291146,movielens,NeuMF,"{'recall@10': 0.1174, 'mrr@10': 0.2448, 'ndcg@10': 0.1298, 'hit@10': 0.5707, 'map@10': 0.0613, 'precision@10': 0.0957, 'gauc': 0.9016, 'itemcoverage@10': 0.45, 'averagepopularity@10': 941.1614, 'giniindex@10': 0.8927, 'shannonentropy@10': 0.0042, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/NeuMF-Apr-05-2025_07-20-41.pth,0.014614667117151363,AUT
8,2025-04-05 07:38:30.036514,917.0909092999998,movielens,MultiDAE,"{'recall@10': 0.1352, 'mrr@10': 0.2626, 'ndcg@10': 0.1453, 'hit@10': 0.6092, 'map@10': 0.0707, 'precision@10': 0.1052, 'gauc': 0.898, 'itemcoverage@10': 0.4197, 'averagepopularity@10': 1030.8429, 'giniindex@10': 0.9081, 'shannonentropy@10': 0.0044, 'tailpercentage@10': 0.0001}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/MultiDAE-Apr-05-2025_07-38-30.pth,0.012238422328175015,AUT
9,2025-04-05 07:58:39.315930,2220.9014583,movielens,NGCF,"{'recall@10': 0.1304, 'mrr@10': 0.2643, 'ndcg@10': 0.1425, 'hit@10': 0.6012, 'map@10': 0.0685, 'precision@10': 0.1043, 'gauc': 0.9052, 'itemcoverage@10': 0.4053, 'averagepopularity@10': 956.9284, 'giniindex@10': 0.8967, 'shannonentropy@10': 0.0047, 'tailpercentage@10': 0.0}","{'epochs': 50, 'stopping_step': 50, 'checkpoint_dir': './saved/movielens/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['Recall', 'MRR', 'NDCG', 'Hit', 'MAP', 'Precision', 'GAUC', 'ItemCoverage', 'AveragePopularity', 'GiniIndex', 'ShannonEntropy', 'TailPercentage']}",./saved/movielens/NGCF-Apr-05-2025_07-58-38.pth,0.04658847104725153,AUT
